objective,metric,FLUX,PRESS
ForceBalance,size,1122,1122
ForceBalance,l2,6489701.865255425,16847438.306892794
ForceBalance,max_abs,954425.2226294206,1745075.527829843
ForceBalance,mean_abs,142617.15339530623,402682.3135514284
ForceBalance,rms,193744.02480556845,502964.63119765406
ForceBalance,status,ok,ok
BallooningStability,size,3,3
BallooningStability,l2,0.0006659239065575954,0.00010863453243279354
BallooningStability,max_abs,0.0006659239065575954,0.00010863453243279354
BallooningStability,mean_abs,0.00022197463551919846,3.621151081093118e-05
BallooningStability,rms,0.0003844713467108349,6.272017654336248e-05
BallooningStability,status,ok,ok
