objective,metric,FLUX,PRESS
ForceBalance,size,442,442
ForceBalance,l2,3820006.937882219,2303356.2877139156
ForceBalance,max_abs,1446579.9552297054,655195.2495155401
ForceBalance,mean_abs,96397.38613623776,63140.15532638469
ForceBalance,rms,181699.20076842108,109559.48598212727
ForceBalance,status,ok,ok
QuasisymmetryTripleProduct,size,1547,1547
QuasisymmetryTripleProduct,l2,61.03776110813728,45.4966652202921
QuasisymmetryTripleProduct,max_abs,15.016848413621679,13.477560723112454
QuasisymmetryTripleProduct,mean_abs,0.6424852837790166,0.42968290829480205
QuasisymmetryTripleProduct,rms,1.5518632130005132,1.1567364167320109
QuasisymmetryTripleProduct,status,ok,ok
