objective,metric,FXD,FREE
ForceBalance,size,442,442
ForceBalance,l2,3820006.9378810227,2303356.287709879
ForceBalance,max_abs,1446579.9552290454,655195.2495069399
ForceBalance,mean_abs,96397.38613611255,63140.15532635867
ForceBalance,rms,181699.20076836422,109559.48598193529
ForceBalance,status,ok,ok
QuasisymmetryTripleProduct,size,1547,1547
QuasisymmetryTripleProduct,l2,61.037761108137424,45.496665220291725
QuasisymmetryTripleProduct,max_abs,15.016848413621792,13.477560723112456
QuasisymmetryTripleProduct,mean_abs,0.6424852837790186,0.42968290829480016
QuasisymmetryTripleProduct,rms,1.551863213000517,1.1567364167320011
QuasisymmetryTripleProduct,status,ok,ok
