objective,metric,FLUX,PRESS
ForceBalance,size,1122,1122
ForceBalance,l2,93901.72085811936,207426.20928083334
ForceBalance,max_abs,25154.080511738077,62131.02156574204
ForceBalance,mean_abs,1541.7360301972994,2345.220895792191
ForceBalance,rms,2803.3487073762517,6192.516924604377
ForceBalance,status,ok,ok
QuasisymmetryTripleProduct,size,2673,2673
QuasisymmetryTripleProduct,l2,8.139723519890993,7.8299402117395385
QuasisymmetryTripleProduct,max_abs,1.716337303021118,1.988269080045388
QuasisymmetryTripleProduct,mean_abs,0.08576161563582044,0.0808896169582941
QuasisymmetryTripleProduct,rms,0.15743822116334288,0.1514464042592088
QuasisymmetryTripleProduct,status,ok,ok
