Objective,Run,ftol,xtol,gtol,ctol
balloon,001,1.0000e-03,1.0000e-03,1.0000e-03,1.0000e-03
balloon,002,1.0000e-04,1.0000e-04,1.0000e-04,1.0000e-03
balloon,003,1.0000e-05,1.0000e-05,1.0000e-05,1.0000e-03
force,001,1.0000e-03,1.0000e-03,1.0000e-03,1.0000e-03
force,002,1.0000e-04,1.0000e-04,1.0000e-04,1.0000e-04
force,003,1.0000e-05,1.0000e-05,1.0000e-05,1.0000e-05
force,004,1.0000e-06,1.0000e-06,1.0000e-06,1.0000e-03
qs3,001,1.0000e-03,1.0000e-03,1.0000e-03,1.0000e-03
qs3,002,1.0000e-04,1.0000e-04,1.0000e-04,1.0000e-03
qs3,003,1.0000e-05,1.0000e-05,1.0000e-05,1.0000e-03
