objective,metric,FXD,FREE
ForceBalance,size,182,182
ForceBalance,l2,14030.197232411869,11144.879041072256
ForceBalance,max_abs,3330.644236000124,2514.124130427901
ForceBalance,mean_abs,808.5955351041249,612.4024458606384
ForceBalance,rms,1039.9874111145773,826.1133973465438
ForceBalance,status,ok,ok
BallooningStability,size,3,3
BallooningStability,l2,0.0887246189824489,10.987823658251772
BallooningStability,max_abs,0.06510018500258923,6.60412595242143
BallooningStability,mean_abs,0.04901672730890292,6.341065728821339
BallooningStability,rms,0.051225182653263854,6.343822946899799
BallooningStability,status,ok,ok
