objective,metric,FLUX,PRESS
ForceBalance,size,1122,1122
ForceBalance,l2,8325.826655994053,167352.66734421108
ForceBalance,max_abs,2068.6104774992327,15034.45516029094
ForceBalance,mean_abs,114.21791306935266,3998.1820071089214
ForceBalance,rms,248.55982596086278,4996.158530302337
ForceBalance,status,ok,ok
BallooningStability,size,3,3
BallooningStability,l2,0.3133645222080878,0.6217110265362097
BallooningStability,max_abs,0.2804990390636039,0.6209180993123311
BallooningStability,mean_abs,0.1409457270375892,0.21743593945958872
BallooningStability,rms,0.18092109125131797,0.3589450285288392
BallooningStability,status,ok,ok
