objective,metric,FLUX,PRESS
ForceBalance,size,1122,1122
ForceBalance,l2,67069.30255371418,76620.28108943043
ForceBalance,max_abs,7125.41293291918,7076.438236263458
ForceBalance,mean_abs,1589.9001338317407,1848.1962508212036
ForceBalance,rms,2002.2917673965505,2287.427365419655
ForceBalance,status,ok,ok
Isodynamicity,size,2244,2244
Isodynamicity,l2,0.07530916025081172,0.08792125422254968
Isodynamicity,max_abs,0.008769506908654672,0.01045384069467711
Isodynamicity,mean_abs,0.0008268105752967312,0.0009149317000264123
Isodynamicity,rms,0.0015897776189628217,0.001856019131386389
Isodynamicity,status,ok,ok
