objective,metric,FLUX,PRESS
ForceBalance,size,1122,1122
ForceBalance,l2,5082.173031922301,9049.041088104314
ForceBalance,max_abs,1274.7090213152003,2389.7431747943433
ForceBalance,mean_abs,72.63982512749159,115.52269769814087
ForceBalance,rms,151.7235580935568,270.1507214725167
ForceBalance,status,ok,ok
QuasisymmetryTripleProduct,size,2673,2673
QuasisymmetryTripleProduct,l2,2.631173976204436e-05,2.9394091494275694e-05
QuasisymmetryTripleProduct,max_abs,3.8146479970561407e-06,3.2060293526939983e-06
QuasisymmetryTripleProduct,mean_abs,2.506533338775434e-07,3.3766638736079824e-07
QuasisymmetryTripleProduct,rms,5.089206646547791e-07,5.68539394030092e-07
QuasisymmetryTripleProduct,status,ok,ok
