objective,metric,FLUX,PRESS
ForceBalance,size,1122,1122
ForceBalance,l2,16814.981357459437,50567.77867497211
ForceBalance,max_abs,2281.2424033784214,4768.270762097632
ForceBalance,mean_abs,393.06703945398624,1216.6277473572156
ForceBalance,rms,501.9956591020643,1509.654090339432
ForceBalance,status,ok,ok
BallooningStability,size,3,3
BallooningStability,l2,0.0017185072627379661,0.1454548829991421
BallooningStability,max_abs,0.0017185072627379661,0.1454548829991421
BallooningStability,mean_abs,0.0005728357542459887,0.048484960999714034
BallooningStability,rms,0.0009921806307460917,0.08397841585450022
BallooningStability,status,ok,ok
