objective,metric,FLUX,PRESS
ForceBalance,size,650,650
ForceBalance,l2,197392.2175581497,296315.4253136214
ForceBalance,max_abs,30049.34756159692,34354.48697104524
ForceBalance,mean_abs,5544.707076974961,9207.09591956281
ForceBalance,rms,7742.359762771983,11622.447198866932
ForceBalance,status,ok,ok
BallooningStability,size,3,3
BallooningStability,l2,0.06857678051402241,0.10890091908876297
BallooningStability,max_abs,0.06190111145218981,0.09387788030989519
BallooningStability,mean_abs,0.030650421868578887,0.05730964671072031
BallooningStability,rms,0.039592822689928725,0.06287397495089496
BallooningStability,status,ok,ok
