objective,metric,FLUX,PRESS
ForceBalance,size,1122,1122
ForceBalance,l2,1055710.916024263,1023545.8869071099
ForceBalance,max_abs,103949.96057465234,109365.71667874251
ForceBalance,mean_abs,25316.501335966233,24130.3789547835
ForceBalance,rms,31517.26938286154,30557.01229732279
ForceBalance,status,ok,ok
BallooningStability,size,3,3
BallooningStability,l2,0.00200246310871256,0.00273023236507716
BallooningStability,max_abs,0.0015917149251819082,0.002126804249648903
BallooningStability,mean_abs,0.001088304900099051,0.0015159531303010586
BallooningStability,rms,0.0011561226148574914,0.001576300390927527
BallooningStability,status,ok,ok
