objective,metric,FLUX,PRESS
ForceBalance,size,650,650
ForceBalance,l2,348944.35141693446,349215.37167575746
ForceBalance,max_abs,83941.627981186,85149.1415494589
ForceBalance,mean_abs,9414.912360363956,9401.077199971334
ForceBalance,rms,13686.723515637901,13697.353804778802
ForceBalance,status,ok,ok
QuasisymmetryTripleProduct,size,1225,1225
QuasisymmetryTripleProduct,l2,37.15244046101819,37.08926133959578
QuasisymmetryTripleProduct,max_abs,6.706618289940318,6.703688289831196
QuasisymmetryTripleProduct,mean_abs,0.6073170513390025,0.6060741905044398
QuasisymmetryTripleProduct,rms,1.0614982988862338,1.059693181131308
QuasisymmetryTripleProduct,status,ok,ok
