objective,metric,FXD,FREE
ForceBalance,size,650,650
ForceBalance,l2,348944.3514466761,349215.1346288396
ForceBalance,max_abs,83941.62797720313,85149.9791066753
ForceBalance,mean_abs,9414.912360949682,9401.037991287734
ForceBalance,rms,13686.723516804466,13697.344507033727
ForceBalance,status,ok,ok
QuasisymmetryTripleProduct,size,1225,1225
QuasisymmetryTripleProduct,l2,37.152440463437294,37.08913409913562
QuasisymmetryTripleProduct,max_abs,6.706618290301365,6.703670996739511
QuasisymmetryTripleProduct,mean_abs,0.6073170513876701,0.6060716674171895
QuasisymmetryTripleProduct,rms,1.0614982989553514,1.0596895456895892
QuasisymmetryTripleProduct,status,ok,ok
