objective,metric,OG,CHECK,FNO
helical_qs CurrentDensity,size,24843,24843,24843
helical_qs CurrentDensity,l2,67405.811784264,30150.540223232438,29809.69390983001
helical_qs CurrentDensity,max_abs,4268.320513884114,2364.8563327802754,2658.652055208466
helical_qs CurrentDensity,mean_abs,220.45805214575563,101.6419173955226,97.70189115697026
helical_qs CurrentDensity,rms,427.65674262186894,191.29035729775703,189.1278549813264
helical_qs CurrentDensity,status,ok,ok,ok
helical_qs Omnigenity rho=0.2,size,1024,1024,1024
helical_qs Omnigenity rho=0.2,l2,0.8674490545995068,0.8880168219600763,0.888258881576399
helical_qs Omnigenity rho=0.2,max_abs,0.04199385984152593,0.04332271725793313,0.04335131934908398
helical_qs Omnigenity rho=0.2,mean_abs,0.024470248774840102,0.024917889121097093,0.024923409243569866
helical_qs Omnigenity rho=0.2,rms,0.02710778295623459,0.027750525686252383,0.027758090049262465
helical_qs Omnigenity rho=0.2,status,ok,ok,ok
helical_qs Omnigenity rho=0.4,size,1024,1024,1024
helical_qs Omnigenity rho=0.4,l2,1.736047192163257,1.7697193863104623,1.770835328515441
helical_qs Omnigenity rho=0.4,max_abs,0.08388614366467362,0.08596929925365604,0.08605855107972116
helical_qs Omnigenity rho=0.4,mean_abs,0.048954505626999864,0.04975594900379115,0.049785208875734385
helical_qs Omnigenity rho=0.4,rms,0.05425147475510178,0.05530373082220195,0.05533860401610753
helical_qs Omnigenity rho=0.4,status,ok,ok,ok
helical_qs Omnigenity rho=0.6,size,1024,1024,1024
helical_qs Omnigenity rho=0.6,l2,2.605756502327299,2.6532955472684567,2.655002487611387
helical_qs Omnigenity rho=0.6,max_abs,0.12485749774399779,0.12814334456398346,0.1282708486122024
helical_qs Omnigenity rho=0.6,mean_abs,0.07359834669423987,0.07475045173154479,0.0747954864918732
helical_qs Omnigenity rho=0.6,rms,0.08142989069772809,0.08291548585213927,0.08296882773785584
helical_qs Omnigenity rho=0.6,status,ok,ok,ok
helical_qs Omnigenity rho=0.8,size,1024,1024,1024
helical_qs Omnigenity rho=0.8,l2,3.4810172253156115,3.54070770695249,3.542891434403906
helical_qs Omnigenity rho=0.8,max_abs,0.16497594953767103,0.17035559647444587,0.1704369764101945
helical_qs Omnigenity rho=0.8,mean_abs,0.09854405037486909,0.09990858647597395,0.09997247028147505
helical_qs Omnigenity rho=0.8,rms,0.10878178829111287,0.11064711584226532,0.11071535732512207
helical_qs Omnigenity rho=0.8,status,ok,ok,ok
helical_qs Omnigenity rho=1.0,size,1024,1024,1024
helical_qs Omnigenity rho=1.0,l2,4.375768513701863,4.431759650562023,4.434577713840568
helical_qs Omnigenity rho=1.0,max_abs,0.21103683692627206,0.21330686531270793,0.2132995735205705
helical_qs Omnigenity rho=1.0,mean_abs,0.12435326074971616,0.1252032786927999,0.1252993617280746
helical_qs Omnigenity rho=1.0,rms,0.13674276605318322,0.13849248908006323,0.13858055355751775
helical_qs Omnigenity rho=1.0,status,ok,ok,ok
