Run,FBl2FXD,FBl2FREE,FBmaxFXD,FBmaxFREE,FBmeanFXD,FBmeanFREE,FBrmsFXD,FBrmsFREE,BSl2FXD,BSl2FREE,BSmaxFXD,BSmaxFREE,BSmeanFXD,BSmeanFREE,BSrmsFXD,BSrmsFREE,ARl2FXD,ARl2FREE,ARmaxFXD,ARmaxFREE,ARmeanFXD,ARmeanFREE,ARrmsFXD,ARrmsFREE,K2l2FXD,K2l2FREE,K2maxFXD,K2maxFREE,K2meanFXD,K2meanFREE,K2rmsFXD,K2rmsFREE
01,7.987e+05,1.228e+06,2.218e+05,2.971e+05,3.860e+04,6.144e+04,5.221e+04,8.025e+04,4.147e+00,7.307e-01,4.147e+00,7.307e-01,4.147e+00,7.307e-01,4.147e+00,7.307e-01,1.051e+01,1.045e+01,1.051e+01,1.045e+01,1.051e+01,1.045e+01,1.051e+01,1.045e+01,2.294e+01,2.524e+01,8.920e+00,9.480e+00,1.544e+00,1.564e+00,2.121e+00,2.334e+00
02,5.717e+05,1.228e+06,2.140e+05,2.971e+05,2.641e+04,6.144e+04,3.737e+04,8.025e+04,4.603e-03,7.307e-01,4.603e-03,7.307e-01,4.603e-03,7.307e-01,4.603e-03,7.307e-01,1.025e+01,1.045e+01,1.025e+01,1.045e+01,1.025e+01,1.045e+01,1.025e+01,1.045e+01,3.328e+01,2.524e+01,2.184e+01,9.480e+00,1.555e+00,1.564e+00,3.077e+00,2.334e+00
03,7.987e+05,1.228e+06,2.218e+05,2.971e+05,3.860e+04,6.144e+04,5.221e+04,8.025e+04,4.147e+00,7.307e-01,4.147e+00,7.307e-01,4.147e+00,7.307e-01,4.147e+00,7.307e-01,1.051e+01,1.045e+01,1.051e+01,1.045e+01,1.051e+01,1.045e+01,1.051e+01,1.045e+01,2.294e+01,2.524e+01,8.920e+00,9.480e+00,1.544e+00,1.564e+00,2.121e+00,2.334e+00
04,5.801e+05,1.228e+06,2.165e+05,2.971e+05,2.672e+04,6.144e+04,3.792e+04,8.025e+04,2.380e-05,7.307e-01,2.380e-05,7.307e-01,2.380e-05,7.307e-01,2.380e-05,7.307e-01,1.024e+01,1.045e+01,1.024e+01,1.045e+01,1.024e+01,1.045e+01,1.024e+01,1.045e+01,3.398e+01,2.524e+01,2.243e+01,9.480e+00,1.561e+00,1.564e+00,3.142e+00,2.334e+00
05,7.987e+05,1.228e+06,2.218e+05,2.971e+05,3.860e+04,6.144e+04,5.221e+04,8.025e+04,4.147e+00,7.307e-01,4.147e+00,7.307e-01,4.147e+00,7.307e-01,4.147e+00,7.307e-01,1.051e+01,1.045e+01,1.051e+01,1.045e+01,1.051e+01,1.045e+01,1.051e+01,1.045e+01,2.294e+01,2.524e+01,8.920e+00,9.480e+00,1.544e+00,1.564e+00,2.121e+00,2.334e+00
06,5.717e+05,1.228e+06,2.140e+05,2.971e+05,2.641e+04,6.144e+04,3.737e+04,8.025e+04,4.603e-03,7.307e-01,4.603e-03,7.307e-01,4.603e-03,7.307e-01,4.603e-03,7.307e-01,1.025e+01,1.045e+01,1.025e+01,1.045e+01,1.025e+01,1.045e+01,1.025e+01,1.045e+01,3.328e+01,2.524e+01,2.184e+01,9.480e+00,1.555e+00,1.564e+00,3.077e+00,2.334e+00
07,7.987e+05,1.228e+06,2.218e+05,2.971e+05,3.860e+04,6.144e+04,5.221e+04,8.025e+04,4.147e+00,7.307e-01,4.147e+00,7.307e-01,4.147e+00,7.307e-01,4.147e+00,7.307e-01,1.051e+01,1.045e+01,1.051e+01,1.045e+01,1.051e+01,1.045e+01,1.051e+01,1.045e+01,2.294e+01,2.524e+01,8.920e+00,9.480e+00,1.544e+00,1.564e+00,2.121e+00,2.334e+00
08,5.801e+05,1.228e+06,2.165e+05,2.971e+05,2.672e+04,6.144e+04,3.792e+04,8.025e+04,2.380e-05,7.307e-01,2.380e-05,7.307e-01,2.380e-05,7.307e-01,2.380e-05,7.307e-01,1.024e+01,1.045e+01,1.024e+01,1.045e+01,1.024e+01,1.045e+01,1.024e+01,1.045e+01,3.398e+01,2.524e+01,2.243e+01,9.480e+00,1.561e+00,1.564e+00,3.142e+00,2.334e+00
09,7.987e+05,1.228e+06,2.218e+05,2.971e+05,3.860e+04,6.144e+04,5.221e+04,8.025e+04,4.147e+00,7.307e-01,4.147e+00,7.307e-01,4.147e+00,7.307e-01,4.147e+00,7.307e-01,1.051e+01,1.045e+01,1.051e+01,1.045e+01,1.051e+01,1.045e+01,1.051e+01,1.045e+01,2.294e+01,2.524e+01,8.920e+00,9.480e+00,1.544e+00,1.564e+00,2.121e+00,2.334e+00
10,5.717e+05,1.228e+06,2.140e+05,2.971e+05,2.641e+04,6.144e+04,3.737e+04,8.025e+04,4.603e-03,7.307e-01,4.603e-03,7.307e-01,4.603e-03,7.307e-01,4.603e-03,7.307e-01,1.025e+01,1.045e+01,1.025e+01,1.045e+01,1.025e+01,1.045e+01,1.025e+01,1.045e+01,3.328e+01,2.524e+01,2.184e+01,9.480e+00,1.555e+00,1.564e+00,3.077e+00,2.334e+00
