Run,FBl2FXD,FBl2FREE,FBmaxFXD,FBmaxFREE,FBmeanFXD,FBmeanFREE,FBrmsFXD,FBrmsFREE,QS3l2FXD,QS3l2FREE,QS3maxFXD,QS3maxFREE,QS3meanFXD,QS3meanFREE,QS3rmsFXD,QS3rmsFREE
01,7.817e+05,7.712e+05,1.732e+05,1.682e+05,2.368e+04,2.397e+04,3.251e+04,3.208e+04,1.766e+03,1.790e+03,4.563e+02,4.733e+02,1.617e+01,1.629e+01,4.759e+01,4.824e+01
02,7.714e+05,7.712e+05,1.681e+05,1.682e+05,2.405e+04,2.397e+04,3.209e+04,3.208e+04,1.791e+03,1.790e+03,4.730e+02,4.733e+02,1.630e+01,1.629e+01,4.826e+01,4.824e+01
03,7.817e+05,7.712e+05,1.732e+05,1.682e+05,2.368e+04,2.397e+04,3.251e+04,3.208e+04,1.766e+03,1.790e+03,4.563e+02,4.733e+02,1.617e+01,1.629e+01,4.759e+01,4.824e+01
04,7.714e+05,7.712e+05,1.681e+05,1.682e+05,2.405e+04,2.397e+04,3.209e+04,3.208e+04,1.791e+03,1.790e+03,4.730e+02,4.733e+02,1.630e+01,1.629e+01,4.826e+01,4.824e+01
05,1.268e+05,7.746e+05,2.316e+04,1.681e+05,4.060e+03,2.400e+04,5.276e+03,3.222e+04,1.234e+01,1.790e+03,2.048e+00,4.748e+02,1.957e-01,1.629e+01,3.325e-01,4.825e+01
06,7.714e+05,7.746e+05,1.681e+05,1.681e+05,2.405e+04,2.400e+04,3.209e+04,3.222e+04,1.791e+03,1.790e+03,4.730e+02,4.748e+02,1.630e+01,1.629e+01,4.826e+01,4.825e+01
07,1.270e+05,7.746e+05,2.313e+04,1.681e+05,4.063e+03,2.400e+04,5.281e+03,3.222e+04,1.233e+01,1.790e+03,2.041e+00,4.748e+02,1.956e-01,1.629e+01,3.323e-01,4.825e+01
08,7.714e+05,7.746e+05,1.681e+05,1.681e+05,2.405e+04,2.400e+04,3.209e+04,3.222e+04,1.791e+03,1.790e+03,4.730e+02,4.748e+02,1.630e+01,1.629e+01,4.826e+01,4.825e+01
09,1.268e+05,7.746e+05,2.316e+04,1.681e+05,4.060e+03,2.400e+04,5.276e+03,3.222e+04,1.234e+01,1.790e+03,2.048e+00,4.748e+02,1.957e-01,1.629e+01,3.325e-01,4.825e+01
10,7.714e+05,7.746e+05,1.681e+05,1.681e+05,2.405e+04,2.400e+04,3.209e+04,3.222e+04,1.791e+03,1.790e+03,4.730e+02,4.748e+02,1.630e+01,1.629e+01,4.826e+01,4.825e+01
11,1.270e+05,7.746e+05,2.316e+04,1.681e+05,4.067e+03,2.400e+04,5.284e+03,3.222e+04,1.233e+01,1.790e+03,2.043e+00,4.748e+02,1.956e-01,1.629e+01,3.323e-01,4.825e+01
12,7.714e+05,7.746e+05,1.681e+05,1.681e+05,2.405e+04,2.400e+04,3.209e+04,3.222e+04,1.791e+03,1.790e+03,4.730e+02,4.748e+02,1.630e+01,1.629e+01,4.826e+01,4.825e+01
