Run,FBl2FXD,FBl2FREE,FBmaxFXD,FBmaxFREE,FBmeanFXD,FBmeanFREE,FBrmsFXD,FBrmsFREE,QS2l2FXD,QS2l2FREE,QS2maxFXD,QS2maxFREE,QS2meanFXD,QS2meanFREE,QS2rmsFXD,QS2rmsFREE
01,7.806e+05,7.714e+05,1.726e+05,1.681e+05,2.365e+04,2.405e+04,3.247e+04,3.209e+04,5.645e+02,5.670e+02,1.328e+02,1.353e+02,2.308e+01,2.315e+01,3.321e+01,3.335e+01
02,7.712e+05,7.714e+05,1.718e+05,1.681e+05,2.334e+04,2.405e+04,3.208e+04,3.209e+04,5.615e+02,5.670e+02,1.316e+02,1.353e+02,2.299e+01,2.315e+01,3.303e+01,3.335e+01
03,7.806e+05,7.714e+05,1.726e+05,1.681e+05,2.365e+04,2.405e+04,3.247e+04,3.209e+04,5.645e+02,5.670e+02,1.328e+02,1.353e+02,2.308e+01,2.315e+01,3.321e+01,3.335e+01
04,7.712e+05,7.714e+05,1.718e+05,1.681e+05,2.334e+04,2.405e+04,3.208e+04,3.209e+04,5.615e+02,5.670e+02,1.316e+02,1.353e+02,2.299e+01,2.315e+01,3.303e+01,3.335e+01
05,1.424e+05,7.714e+05,2.767e+04,1.681e+05,4.378e+03,2.405e+04,5.924e+03,3.209e+04,1.572e+02,5.670e+02,2.017e+01,1.353e+02,7.282e+00,2.315e+01,9.248e+00,3.335e+01
06,1.430e+05,7.714e+05,2.791e+04,1.681e+05,4.393e+03,2.405e+04,5.948e+03,3.209e+04,1.572e+02,5.670e+02,2.025e+01,1.353e+02,7.281e+00,2.315e+01,9.248e+00,3.335e+01
07,1.424e+05,7.714e+05,2.767e+04,1.681e+05,4.378e+03,2.405e+04,5.924e+03,3.209e+04,1.572e+02,5.670e+02,2.017e+01,1.353e+02,7.282e+00,2.315e+01,9.248e+00,3.335e+01
08,1.430e+05,7.714e+05,2.791e+04,1.681e+05,4.393e+03,2.405e+04,5.948e+03,3.209e+04,1.572e+02,5.670e+02,2.025e+01,1.353e+02,7.281e+00,2.315e+01,9.248e+00,3.335e+01
09,1.427e+05,7.714e+05,2.774e+04,1.681e+05,4.386e+03,2.405e+04,5.936e+03,3.209e+04,1.572e+02,5.670e+02,2.019e+01,1.353e+02,7.282e+00,2.315e+01,9.248e+00,3.335e+01
10,1.430e+05,7.714e+05,2.791e+04,1.681e+05,4.393e+03,2.405e+04,5.948e+03,3.209e+04,1.572e+02,5.670e+02,2.025e+01,1.353e+02,7.281e+00,2.315e+01,9.248e+00,3.335e+01
11,1.427e+05,7.714e+05,2.774e+04,1.681e+05,4.386e+03,2.405e+04,5.936e+03,3.209e+04,1.572e+02,5.670e+02,2.019e+01,1.353e+02,7.282e+00,2.315e+01,9.248e+00,3.335e+01
12,1.430e+05,7.714e+05,2.791e+04,1.681e+05,4.393e+03,2.405e+04,5.948e+03,3.209e+04,1.572e+02,5.670e+02,2.025e+01,1.353e+02,7.281e+00,2.315e+01,9.248e+00,3.335e+01
