objective,metric,auglag_FXD,auglag_FREE,multigrid_FXD,multigrid_FREE
ForceBalance,size,306,306,306,306
ForceBalance,l2,5746.115441798013,6122.78148485393,7479.351975146079,7479.351975147119
ForceBalance,max_abs,1177.3830591489532,1272.9434832967304,1043.9637820921776,1043.9637820927132
ForceBalance,mean_abs,264.5861383937582,269.6570418234148,346.0663393151202,346.0663393152176
ForceBalance,rms,328.48355611129375,350.0161205963995,427.56609384012717,427.5660938401866
ForceBalance,status,ok,ok,ok,ok
QuasisymmetryBoozer,size,136,136,136,136
QuasisymmetryBoozer,l2,0.02397316290363381,0.032798862560556044,0.013432066682412399,0.013432066682417284
QuasisymmetryBoozer,max_abs,0.014634347219450502,0.018032316878599942,0.007796568894062259,0.0077965688940594136
QuasisymmetryBoozer,mean_abs,0.0007290643485866591,0.0008944591618904188,0.00040003943035444233,0.00040003943035435186
QuasisymmetryBoozer,rms,0.0020556817596820384,0.0028124792617094823,0.0011517902157867797,0.0011517902157871984
QuasisymmetryBoozer,status,ok,ok,ok,ok
