objective,metric,FXD,FREE
ForceBalance,size,306,306
ForceBalance,l2,856.063316622715,970.711230466295
ForceBalance,max_abs,166.41718575359053,162.85905999135545
ForceBalance,mean_abs,38.78483019265861,42.85396732910377
ForceBalance,rms,48.9378825310664,55.49186753563781
ForceBalance,status,ok,ok
QuasisymmetryBoozer,size,136,136
QuasisymmetryBoozer,l2,0.009999391397424486,0.01149002046428326
QuasisymmetryBoozer,max_abs,0.004796975536882025,0.006141277505129223
QuasisymmetryBoozer,mean_abs,0.00030874219462158044,0.0003744703408695127
QuasisymmetryBoozer,rms,0.0008574407384722368,0.0009852611264415257
QuasisymmetryBoozer,status,ok,ok
