objective,metric,FXD,FREE
ForceBalance,size,306,306
ForceBalance,l2,7955.03774768295,7955.037747696191
ForceBalance,max_abs,2099.875223821596,2099.875223825664
ForceBalance,mean_abs,362.35626040158076,362.35626040222513
ForceBalance,rms,454.75923949429205,454.75923949504903
ForceBalance,status,ok,ok
QuasisymmetryBoozer,size,136,136
QuasisymmetryBoozer,l2,0.028669812530071295,0.028669812530072745
QuasisymmetryBoozer,max_abs,0.027498102202093224,0.027498102202094053
QuasisymmetryBoozer,mean_abs,0.00047591023834822735,0.000475910238348507
QuasisymmetryBoozer,rms,0.002458416142604099,0.0024584161426042237
QuasisymmetryBoozer,status,ok,ok
