objective,metric,FXD,FREE
ForceBalance,size,234,234
ForceBalance,l2,580068.8208033416,1227552.0639644882
ForceBalance,max_abs,216464.25374579086,297060.4682320511
ForceBalance,mean_abs,26721.873097241678,61436.722186909814
ForceBalance,rms,37920.28508337174,80247.58882187211
ForceBalance,status,ok,ok
BallooningStability,size,1,1
BallooningStability,l2,2.3796513420176786e-05,0.7307174199638856
BallooningStability,max_abs,2.3796513420176786e-05,0.7307174199638856
BallooningStability,mean_abs,2.3796513420176786e-05,0.7307174199638856
BallooningStability,rms,2.3796513420176786e-05,0.7307174199638856
BallooningStability,status,ok,ok
AspectRatio,size,1,1
AspectRatio,l2,10.240452400096224,10.445063556950286
AspectRatio,max_abs,10.240452400096224,10.445063556950286
AspectRatio,mean_abs,10.240452400096224,10.445063556950286
AspectRatio,rms,10.240452400096224,10.445063556950286
AspectRatio,status,ok,ok
GenericObjective curvature_k2_rho,size,117,117
GenericObjective curvature_k2_rho,l2,33.98099024667519,25.240907749181897
GenericObjective curvature_k2_rho,max_abs,22.433952640907744,9.479532321068884
GenericObjective curvature_k2_rho,mean_abs,1.561066354358454,1.5636665963153966
GenericObjective curvature_k2_rho,rms,3.1415436596263873,2.333522746895684
GenericObjective curvature_k2_rho,status,ok,ok
