objective,metric,optimized_FXD,optimized_FREE
ForceBalance,size,234,234
ForceBalance,l2,905526.9116644087,1227552.0639644882
ForceBalance,max_abs,234815.66231630705,297060.4682320511
ForceBalance,mean_abs,42620.88524077557,61436.722186909814
ForceBalance,rms,59196.146059746534,80247.58882187211
ForceBalance,status,ok,ok
BallooningStability,size,1,1
BallooningStability,l2,4.521661947950325,0.7307174199638856
BallooningStability,max_abs,4.521661947950325,0.7307174199638856
BallooningStability,mean_abs,4.521661947950325,0.7307174199638856
BallooningStability,rms,4.521661947950325,0.7307174199638856
BallooningStability,status,ok,ok
AspectRatio,size,1,1
AspectRatio,l2,10.514715562048433,10.445063556950286
AspectRatio,max_abs,10.514715562048433,10.445063556950286
AspectRatio,mean_abs,10.514715562048433,10.445063556950286
AspectRatio,rms,10.514715562048433,10.445063556950286
AspectRatio,status,ok,ok
GenericObjective curvature_k2_rho,size,117,117
GenericObjective curvature_k2_rho,l2,23.051345102794574,25.240907749181897
GenericObjective curvature_k2_rho,max_abs,9.071107788776702,9.479532321068884
GenericObjective curvature_k2_rho,mean_abs,1.5524685555778726,1.5636665963153966
GenericObjective curvature_k2_rho,rms,2.131097608629271,2.333522746895684
GenericObjective curvature_k2_rho,status,ok,ok
