objective,metric,C_FXD,C_FREE,T_FXD,T_FREE
ForceBalance,size,578,578,578,578
ForceBalance,l2,146252.33465163343,8.635806632525811e-13,122455.48088339869,8.635806632525811e-13
ForceBalance,max_abs,25639.149150048517,9.733680145597474e-14,21260.042980565187,9.733680145597474e-14
ForceBalance,mean_abs,4525.566460465495,2.3346976480170692e-14,3883.4513585617206,2.3346976480170692e-14
ForceBalance,rms,6083.295152737311,3.5920220181616264e-14,5093.476525065345,3.5920220181616264e-14
ForceBalance,status,ok,ok,ok,ok
QuasisymmetryBoozer,size,272,272,272,272
QuasisymmetryBoozer,l2,0.4213467832596346,6.285546959094627e-11,0.4208687008417055,6.285546959094627e-11
QuasisymmetryBoozer,max_abs,0.3865293542094043,3.761512457535501e-11,0.38546123779884855,3.761512457535501e-11
QuasisymmetryBoozer,mean_abs,0.004875233829512912,1.2155681795559454e-12,0.004762793157654453,1.2155681795559454e-12
QuasisymmetryBoozer,rms,0.025547901358730946,3.8111726510480945e-12,0.025518913354218124,3.8111726510480945e-12
QuasisymmetryBoozer,status,ok,ok,ok,ok
