Run,Outer ftol,Outer xtol,Outer gtol,Inner ftol,Inner xtol,Inner gtol
001,1.0000e-02,1.0000e-06,1.0000e-03,1.0000e-04,1.0000e-06,1.0000e-06
002,1.0000e-02,1.0000e-06,1.0000e-03,1.0000e-06,1.0000e-06,1.0000e-06
003,1.0000e-02,1.0000e-06,1.0000e-06,1.0000e-04,1.0000e-06,1.0000e-06
004,1.0000e-02,1.0000e-06,1.0000e-06,1.0000e-06,1.0000e-06,1.0000e-06
005,1.0000e-04,1.0000e-06,1.0000e-03,1.0000e-04,1.0000e-06,1.0000e-06
006,1.0000e-04,1.0000e-06,1.0000e-03,1.0000e-06,1.0000e-06,1.0000e-06
007,1.0000e-04,1.0000e-06,1.0000e-06,1.0000e-04,1.0000e-06,1.0000e-06
008,1.0000e-04,1.0000e-06,1.0000e-06,1.0000e-06,1.0000e-06,1.0000e-06
009,1.0000e-06,1.0000e-06,1.0000e-03,1.0000e-04,1.0000e-06,1.0000e-06
010,1.0000e-06,1.0000e-06,1.0000e-03,1.0000e-06,1.0000e-06,1.0000e-06
011,1.0000e-06,1.0000e-06,1.0000e-06,1.0000e-04,1.0000e-06,1.0000e-06
012,1.0000e-06,1.0000e-06,1.0000e-06,1.0000e-06,1.0000e-06,1.0000e-06
